Title,Description,Date,Website,Data
MCV Holding Company LLC,"At Capital Power, we’re working to create a brighter world powered by responsible energy. Together, our thermal and renewable assets represent approximately 7,400 MW of generation capacity that is well-positioned to support the low-carbon energy system required for our longevity as a global community.",2022-11-01,https://www.capitalpower.com/,"
At Capital Power, we’re working to create a brighter world powered by responsible energy. Together, our thermal and renewable assets represent approximately 7,400 MW of generation capacity that is well-positioned to support the low-carbon energy system required for our longevity as a global community.
"
Midland Cogeneration Venture,Midland Cogeneration Venture (MCV) is the largest natural gas fired combined electrical energy and steam energy generating plant in the United States of America,2022-10-06,https://www.midcogen.com,"
Midland Cogeneration Venture (MCV) is the largest natural gas fired combined electrical energy and steam energy generating plant in the United States of America
"
Moscone Center,"Founded in 1981. Moscone Center is headquartered in San Fransisco, California. Moscone Center is a meeting and exhibition facility",2022-08-23,https://www.moscone.com/,"
HR Data, Exhibition data, Employees Data, Finance Data
"
AHT Wisconsin Windows,"AHT Wisconsin Windows is ready to help you make your home more beautiful, more comfortable and more energy-efficient with home improvements including replacement windows, patio doors, and beautiful entry doors.",2022-08-19,https://www.ahtwindows.com,"
AHT Wisconsin Windows is ready to help you make your home more beautiful, more comfortable and more energy-efficient with home improvements including replacement windows, patio doors, and beautiful entry doors.
"
Pilenpak,We continuously increase the value we create for our stakeholders by producinghigh quality and efficientpackaging material which will develop customer expectancy.,2022-08-18,https://www.pilenpak.com,"
We continuously increase the value we create for our stakeholders by producinghigh quality and efficientpackaging material which will develop customer expectancy.
"
Freyr Solutions,"Freyr is one of the largest, global, Regulatory-focused solutions and services companies for the Life Sciences industry supporting, Large, Medium, and Small size global Life sciences companies (Pharmaceutical | Generics | Medical Device | Biotechnology | Biosimilar | Consumer Healthcare | Cosmetics | Food and Food Supplements | Chemicals) in their entire Regulatory value-chain; ranging from Regulatory Strategy, Intelligence, Dossiers, Submissions, etc. to Post-approval/Legacy Product Maintenance, Labeling, Artwork Change Management, and other related functions",2022-08-08,https://www.freyrsolutions.com/,"
- Documents- Novartis internal audit- IT- Axicon-software- Technology- Financials- Business setup- Management- Scans- Projects- Partners documents- HR- Engineering- Client Services- Marketing- Forms & Templates and others.
"
"Delon Hampton & Associates, Chartered","In January 1973, Delon Hampton and Associates, Chartered was founded with the sole objective of creating a world-class engineering consulting firm specializing",2022-07-19,http://www.delonhampton.com,"
Customer Data, Employees Data, HR Data, Contracts, SSN, Financiles
"
Crupi Group,"The Crupi Group is an assembly of companies surrounding D. Crupi and Sons Ltd. to fulfill paving and road construction needs for developers, municipalities",2022-06-29,http://crupigroup.com,"
Passport scans, Signed contracts, invoices, payrolls, asphalt mix design reports, asphalt and concrete mix documentation, agreements, quality reports, NDA, Assets, licenses, vaccine records, legal, accidents reports, employee sign-in sheets, employee tracking, audits, corporate services access,accounts payble, statements, employee's reports of injury, personal medical data.
"
YMCA,"YMCA of South Florida has been dedicated to building healthy, confident and secure children, families and communities.",2022-06-14,http://www.ymcasouthflorida.org,"
Customer data, Employees data, HR Data, Financials
"
Medlab Pathology,"Medlab Pathology is one of Australia's largest, privately owned independent pathology practices",2022-06-14,http://medlab.com.au,"
Patients Data, Financial Data
"
Hirsch Watch Straps & Accessories,"HIRSCH develops and manufactures the most advanced, the most detailed and the finest bracelets in the world. HIRSCH bracelets are the most beautiful outfit for any watch and are eagerly sought-after accessories. In addition to durability, wearing comfort and appealing looks we bring the technical functionality of these smart companions of watches to perfection.",2022-05-17,http://hirschstraps.com,"
""We are world market leaders in our function as partners and the main suppliers of the Swiss watchmaking industry."" they said. Unfortunately, the privacy of the data was not as reliable as the accessory produced by the manufacturer and they had a complete data leak. Despite the fact that the management was aware of the leak, they did not take any steps to prevent incidents and, moreover, covered up this leak from all interested parties.We publish the firs part of data which contains internal contracts, certificates and licenses for products, technical cards of production, production management, loan agreements, financial statements e.t.It will be very useful to know for the Swiss watchmaking industries and their customers around the world
"
Hufcor,Movable glass wall company,2022-04-29,http://www.hufcor.com,"
Engineering Data, Financial data, Customer Data, Employee data
"
Grosvenor Engineering Group,Building services partner in Australia and New Zealand,2022-04-29,http://www.gegroup.com.au,"
Financial data, HR Data, Personnel data, lot's of employee data
"
Confcommercio - Alessandria - Home,"Italian General Confederation of Enterprises, Professions and Self-Employment, is the largest business association in Italy",2022-04-26,http://www.confcommercio.al.it,"
We've got over 700Gb of company data, personal data, employee data and other commercial data.
"
Broadleaf,Broadleaf is a family owned food distribution company supplying the highest quality meat and specialty foods to distributors and retailers across the,2022-04-11,https://broadleafgame.com/,"
Employees Personal Data, Customer Data, HR Data, Financial Reports, Engineering Data, Partner Contracts and so on.
"
Wolfe Industrial,"This diversity of services gives Wolfe the capability to handle a variety of projects related to material handling, air handling, custom conveyors and so on",2022-04-11,http://www.wolfeindustrial.com,"
Accounting Data, Customer Data, Engineering data and so on.
"
Altoona Area School District,"Altoona Area School District serves K-12th grade students and is located in Altoona, PA.",2022-02-02,http://aasdcat.com,"
Altoona Area School District serves K-12th grade students and is located in Altoona, PA.

"
Chattanooga Chamber of Commerce,Chattanooga Chamber of Commerce,2021-12-31,https://www.chattanoogachamber.com/,"
Sample of signatures, signed internal documents, W-9, lists of employees, budget data, investor lists with phones and e-mail, financial documents, Payroll data, Lots of W-2 (2016-2020), Accounting files, Audits, Banking, PAYROLL information , Passwords, Drive Licenses, Credit Cards, Personal Data with SSN, Passwords from banks from other companies, Client Documents, Signatures of employees, employee salary, payments for honey services, bank checks
"
Zepter,"Zepter International is a global enterprise which produces, sells and distributes exclusive, high-quality consumer goods around the world",2021-12-09,https://www.zepter.com/,"
Personal data of employees, scans of passports and IDs (including the founders of Zepter), certificates of vaccination, technical products data, drawings, technical and accounting information from various companies in the Zepter Group, employee work documents, employee lists, various corporate passwords 
"
The Jewelry Exchange is the Nations #1 Diamond Store.,Jewelry,2021-12-09,https://www.jewelryexchange.com/,"
Driver Licenses, scans of bank cards with personal information, financial documents, records of conflict situations with clients and pre-trial letters, certificates for precious stones, resume and background of employees, internal corporate documents, inventories, checks, images from surveillance cameras, information on equipment, sales data, purchase orders
"
PVR Ltd.,Revenue $34 Billion! All data is available!,2021-10-18,https://www.pvrcinemas.com/,"
Full dump of information is available!1 TB !Free to download and use!PVR Ltd. is the market leader in terms of screen count in India. Since 1997, the brand has redefined the cinema industry and the way people watch movies in the country. The Company has, over the years, consistently added screens, both organically and inorganically, through strategic investments and acquisitions which includes ‘Cinemax Cinemas’ in November 2012, ‘DT Cinemas’ in May 2016 and ‘SPI Cinemas’ in August 2018 which added 138 screens, 32 screens and 76 screens respectively to our screen network. Currently, we operate 846 screens in 176 cinemas in 71 cities in India and Sri Lanka with an aggregate seating capacity of approximately 1.82 lakhs seats.
"
Lightbank,Why Eric Lefkofsky https://en.wikipedia.org/wiki/Eric_Lefkofsky bought himself a bank and investment companies?  We have about 150 Gb of confidential information.  It will be breaking news! All of the data will be published on October 28th.,2022-10-18,https://www.lightbank.com/,"
Why Eric Lefkofsky https://en.wikipedia.org/wiki/Eric_Lefkofsky bought himself a bank and investment companies?
"
