Title,Website,Country,Description,Data
Mount Saint Mary College,https://www.msmc.edu/,United States,"Mount Saint Mary College is a private Catholic college in Newburgh, New York. It was founded in 1959 by the Dominican Sisters. The campus overlooks the Hudson River, halfway between New York City and Albany. More than 2,700 men and women are enrolled in over 50 undergraduate programs and three graduate degree programs.","
Index of /JhykowedsgX/Yh2bVV8kJao9mn/

Index of /JhykowedsgX/Yh2bVV8kJao9mn/../
Documents/                                         08-Feb-2023 12:50                   -


"
Guildford County School,https://www.guildfordcounty.co.uk/,United Kingdom,As a School founded in 1905 we have deep-rooted values and traditions which have resulted in consistent academic success and we have held a strong place within the Guildford Educational establishment for over 100 years.,"
Index of /JhykowedsgX/c3oqra13pLe2eQ/

Index of /JhykowedsgX/c3oqra13pLe2eQ/../
Documents/                                         31-Jan-2023 19:57                   -


"
Societa Italiana Brevetti SpA,https://www.sib.it/,Italy,"We are a leading firm in intellectual property consultancy , specialized in the protection and defense of patents, trademarks, models, designs and copyrights, among the very first in terms of appreciation at an international level.","
Index of /JhykowedsgX/pGR52SXcm8hjGp/

Index of /JhykowedsgX/pGR52SXcm8hjGp/../
Sage/                                              30-Jan-2023 14:51                   -
Scan/                                              30-Jan-2023 13:49                   -
bracco/                                            31-Jan-2023 05:07                   -
ced/                                               31-Jan-2023 04:57                   -
docprofsib/                                        31-Jan-2023 05:16                   -
docsib/                                            31-Jan-2023 04:52                   -
docsibsiblex/                                      31-Jan-2023 02:45                   -
fscomune/                                          31-Jan-2023 05:15                   -
fslegale/                                          31-Jan-2023 05:32                   -
nsilegmi/                                          31-Jan-2023 05:15                   -
nsilegrm/                                          31-Jan-2023 02:59                   -
nsisibfi/                                          31-Jan-2023 04:50                   -
nsisibmi/                                          31-Jan-2023 10:57                   -
nsisibrm/                                          30-Jan-2023 14:17                   -
scan/                                              30-Jan-2023 14:30                   -
scansibrm/                                         30-Jan-2023 14:04                   -
scansioni/                                         30-Jan-2023 14:30                   -
sibshare/                                          30-Jan-2023 14:14                   -
sibsharepriv/                                      30-Jan-2023 13:55                   -
utentifi/                                          30-Jan-2023 14:14                   -
utentirm/                                          30-Jan-2023 14:04                   -
utentivr/                                          30-Jan-2023 14:01                   -


"
Okanagan College,https://www.okanagan.bc.ca/,Canada,"Established in 1963, Okanagan College has since grown to be the largest college in British Columbia outside the Lower Mainland and Victoria with over 8,500 full-time students on four regional campuses and is the second-largest trade school in British Columbia. Approximately 1,000 international students from over 40 countries currently study at Okanagan College.","
Index of /JhykowedsgX/yH5gt88masdWWm/

Index of /JhykowedsgX/yH5gt88masdWWm/../
Documents/                                         09-Jan-2023 20:18                   -
EMP/                                               28-Jan-2023 15:56                   -
Mail(Ca)/                                          11-Jan-2023 01:17                   -
SQL(CA)/                                           11-Jan-2023 01:42                   -


"
TechInsights,https://www.semiconductor.com/,Canada,For over 30 years we have existed to support a fair marketplace where semiconductor and electronics intellectual property can be innovated and monetized.,"
Index of /JhykowedsgX/bT0KAsw4ZM7kQj/

Index of /JhykowedsgX/bT0KAsw4ZM7kQj/../
Base/                                              31-Jan-2023 10:47                   -
Documents/                                         31-Jan-2023 02:43                   -


"
Scheppersinstituut Wetteren,https://www.scheppers-wetteren.be/,Belgium,Scheppersinstituut Wetteren is a company that operates in the Education industry. The Scheppers Institute is one of the 6 schools for Secondary Education of the Friars of Scheppers in Flanders.,"
Index of /JhykowedsgX/Qiu6yhn9swer5i/

Index of /JhykowedsgX/Qiu6yhn9swer5i/../
Documents/                                         29-Jan-2023 20:00                   -


"
NPTC Group of Colleges,https://www.nptcgroup.ac.uk/,United Kingdom,"NPTC Group of Colleges, formerly Neath Port Talbot College and Coleg Powys, is one of the largest Further Education providers in Wales covering 30 per cent of the country's landmass.","
Index of /JhykowedsgX/aS3roM6REuMart/

Index of /JhykowedsgX/aS3roM6REuMart/../
AdminGavin/                                        29-Jan-2023 13:27                   -
BCE$/                                              29-Jan-2023 09:08                   -
BDU$/                                              29-Jan-2023 11:55                   -
Base/                                              29-Jan-2023 13:07                   -
CDHolding$/                                        29-Jan-2023 09:08                   -
CIT$/                                              29-Jan-2023 11:32                   -
Carpentry$/                                        29-Jan-2023 11:56                   -
Commercial$/                                       29-Jan-2023 09:08                   -
Commercial_PM$/                                    29-Jan-2023 09:08                   -
Compliance_Management$/                            29-Jan-2023 11:52                   -
CorporateServices$/                                29-Jan-2023 09:09                   -
Cyfle$/                                            29-Jan-2023 11:55                   -
Data$/                                             29-Jan-2023 09:06                   -
Data_Protection$/                                  29-Jan-2023 13:16                   -
Deputy_CEO$/                                       29-Jan-2023 11:35                   -
Documents/                                         29-Jan-2023 11:32                   -
Educational-Visits$/                               29-Jan-2023 11:52                   -
Eleceng$/                                          29-Jan-2023 13:16                   -
Enterprise$/                                       29-Jan-2023 09:06                   -
Facilities$/                                       29-Jan-2023 09:08                   -
FacultyStaff$/                                     29-Jan-2023 11:55                   -
FinanceExecutive$/                                 29-Jan-2023 11:35                   -
Governance$/                                       29-Jan-2023 13:15                   -
Health_Safety___Environmental$/                    29-Jan-2023 13:16                   -
InternationalStudents$/                            29-Jan-2023 11:56                   -
LlandarcyPark$/                                    29-Jan-2023 09:09                   -
MIS$/                                              29-Jan-2023 11:56                   -
Marketing$/                                        29-Jan-2023 11:55                   -
Non-Teaching_Staff/                                29-Jan-2023 13:15                   -
PVS$/                                              29-Jan-2023 11:32                   -
Pathways$/                                         29-Jan-2023 13:21                   -
Principal_and_Secretary$/                          29-Jan-2023 09:18                   -
Public/                                            29-Jan-2023 11:32                   -
SDO$/                                              29-Jan-2023 09:18                   -
SData$/                                            29-Jan-2023 09:06                   -
SFI$/                                              29-Jan-2023 13:15                   -
SciTech$/                                          29-Jan-2023 13:21                   -
StudServ$/                                         29-Jan-2023 13:16                   -
Teaching_Staff/                                    29-Jan-2023 11:55                   -
Theatre$/                                          29-Jan-2023 11:56                   -
jobforcewales/                                     29-Jan-2023 11:51                   -
mdf/                                               29-Jan-2023 09:12                   -


"
Seguros Equinoccial,https://www.segurosequinoccial.com/,Ecuador,"Seguros Equinoccial was born in 1973 and since then it has been a leading company in the Ecuadorian market, always seeking to provide an excellent service to its clients and the most complete insurance solutions for individuals and companies.","
Index of /JhykowedsgX/Sa5rDaq9Hum1ze/

Index of /JhykowedsgX/Sa5rDaq9Hum1ze/../
$Recycle.Bin/                                      28-Jan-2023 19:40                   -
20220603/                                          28-Jan-2023 19:56                   -
20221013-WSPOLPDF/                                 28-Jan-2023 17:43                   -
ArchivosACU7/                                      28-Jan-2023 17:43                   -
DOCS_FORMULARIOS_ADJUNTOS/                         28-Jan-2023 19:55                   -
D_SESAProyect/                                     28-Jan-2023 19:56                   -
FUENTES/                                           28-Jan-2023 19:55                   -
FianzasNext-08072022/                              28-Jan-2023 19:56                   -
INSTALADORES/                                      28-Jan-2023 17:43                   -
INSTALADORES_SOPORTE/                              28-Jan-2023 19:55                   -
Instaladores/                                      28-Jan-2023 19:40                   -
MSSQL/                                             28-Jan-2023 19:55                   -
MergeFianzas/                                      28-Jan-2023 19:56                   -
Perl64/                                            28-Jan-2023 19:40                   -
ProyectoETL/                                       28-Jan-2023 19:55                   -
Publicaciones_Fianzas/                             28-Jan-2023 19:55                   -
SAP/                                               28-Jan-2023 19:55                   -
SAP12.5.4/                                         28-Jan-2023 19:56                   -
SEEV/                                              28-Jan-2023 19:56                   -
SERVICIOS_FIANZAS/                                 28-Jan-2023 19:40                   -
SYBASE/                                            28-Jan-2023 19:56                   -
Sybase12_5_4/                                      28-Jan-2023 19:56                   -
TEST_1/                                            28-Jan-2023 19:40                   -
Users/                                             28-Jan-2023 19:56                   -
Users2/                                            28-Jan-2023 19:40                   -
Users3/                                            28-Jan-2023 19:55                   -
Users4/                                            28-Jan-2023 19:56                   -
auditoria/                                         28-Jan-2023 19:56                   -
bck/                                               28-Jan-2023 19:56                   -
componetes_para_servicio_wspolpdf/                 28-Jan-2023 19:40                   -
instalador_AX/                                     28-Jan-2023 19:56                   -
sites/                                             28-Jan-2023 19:55                   -
sybase1254/                                        28-Jan-2023 19:55                   -
tmp/                                               28-Jan-2023 19:55                   -
unidad_e/                                          28-Jan-2023 19:56                   -
wspolpdfservice/                                   28-Jan-2023 19:56                   -


"
EGR,https://www.egr.at/,Austria,"We have specialized in the sale of telecommunications and mobile communications products for over 25 years. Through cooperation with our renowned sales partners Magenta and Drei, we have advanced to become the most successful sales company in this sector in Austria.","
Index of /JhykowedsgX/I7hF1dsRew0jmX/

Index of /JhykowedsgX/I7hF1dsRew0jmX/../
A1/                                                27-Jan-2023 22:38                   -
Ablage/                                            27-Jan-2023 23:04                   -
Arbeitsrecht/                                      27-Jan-2023 22:58                   -
Arbeitssicherheit/                                 27-Jan-2023 22:38                   -
Ausbildung Weiterbildung/                          27-Jan-2023 22:58                   -
BMD Import/                                        27-Jan-2023 22:25                   -
Budget/                                            27-Jan-2023 22:53                   -
Corona Kurzarbeit/                                 27-Jan-2023 22:58                   -
DienstvertrÃ¤ge Muster/                            27-Jan-2023 22:20                   -
EGR Vertrieb PRÃFUNG/                             27-Jan-2023 22:38                   -
Einstufungen/                                      27-Jan-2023 23:04                   -
Evaluierung der psychischen und physischen Bela..> 27-Jan-2023 22:38                   -
Fibu/                                              27-Jan-2023 22:38                   -
Firmenfeier/                                       27-Jan-2023 22:25                   -
Fotoshooting/                                      27-Jan-2023 22:38                   -
FragebÃ¶gen/                                       27-Jan-2023 23:08                   -
GehÃ¤lter/                                         27-Jan-2023 23:04                   -
HFLU/                                              27-Jan-2023 22:38                   -
HR Agenden/                                        27-Jan-2023 22:58                   -
HR Management/                                     27-Jan-2023 22:25                   -
Hearing  Bewerbungen/                              27-Jan-2023 22:38                   -
Homepage/                                          27-Jan-2023 22:56                   -
IT/                                                27-Jan-2023 22:23                   -
Inserate&aushaenge/                                27-Jan-2023 22:59                   -
KV Handel NEU/                                     27-Jan-2023 22:38                   -
Kundenberater/                                     27-Jan-2023 22:53                   -
Leasing/                                           27-Jan-2023 22:38                   -
Lehrlinge/                                         27-Jan-2023 23:08                   -
Lenka Schranz/                                     27-Jan-2023 22:53                   -
Literatur/                                         27-Jan-2023 22:38                   -
Marketing/                                         27-Jan-2023 22:25                   -
Mitarbeiterdaten/                                  27-Jan-2023 23:04                   -
Neubaudatenbank/                                   27-Jan-2023 23:08                   -
Onboarding/                                        27-Jan-2023 22:58                   -
Personal/                                          27-Jan-2023 22:59                   -
Protokolle/                                        27-Jan-2023 22:38                   -
Scans/                                             27-Jan-2023 22:25                   -
Schnuppern/                                        27-Jan-2023 22:58                   -
Schnuppern AMS/                                    27-Jan-2023 22:38                   -
Sharing/                                           27-Jan-2023 22:33                   -
Shop Manadger/                                     27-Jan-2023 22:35                   -
Shops/                                             27-Jan-2023 23:05                   -
Spesenabrechnung/                                  27-Jan-2023 23:04                   -
Stellenbeschreibungen/                             27-Jan-2023 22:59                   -
Unterschriften CE/                                 27-Jan-2023 22:25                   -
Vorlagen/                                          27-Jan-2023 22:53                   -
Wienerjobs/                                        27-Jan-2023 22:38                   -
ZEITERFASSUNG/                                     27-Jan-2023 22:58                   -
Ãbergabe Karenz/                                  27-Jan-2023 22:38                   -


"
Bristol Community College,https://www.bristolcc.edu/,United States,"Bristol Community College is a comprehensive, public community college offering more than 130 career and transfer programs of study that lead to an associate degree in science, arts, applied sciences, and certificates of accomplishment or achievement.","
Index of /JhykowedsgX/Hrkj9DF2zx9nmQ/

Index of /JhykowedsgX/Hrkj9DF2zx9nmQ/../
AP Procedures & Files/                             26-Jan-2023 06:46                   -
ARRA II/                                           26-Jan-2023 06:46                   -
Access queries/                                    26-Jan-2023 07:55                   -
Accounts Payable/                                  26-Jan-2023 06:42                   -
Active Grant List/                                 26-Jan-2023 07:55                   -
Alan/                                              26-Jan-2023 07:59                   -
All_Share/                                         26-Jan-2023 07:51                   -
Audit Policy and Procedure Binder Info/            26-Jan-2023 07:50                   -
Bank/                                              26-Jan-2023 07:55                   -
BankMobile (higher one)/                           26-Jan-2023 07:55                   -
Bobbie-Brian/                                      26-Jan-2023 07:50                   -
Bristol Foundation/                                26-Jan-2023 07:50                   -
Closing and Opening FY Calendars/                  26-Jan-2023 07:49                   -
Decoste/                                           26-Jan-2023 07:54                   -
Department_Shares/                                 26-Jan-2023 07:56                   -
Department_Shares2/                                26-Jan-2023 07:46                   -
Dept_Shares/                                       26-Jan-2023 07:55                   -
Documents/                                         26-Jan-2023 07:46                   -
FY20 Payroll Audit Registers/                      26-Jan-2023 07:58                   -
FY20 Processing/                                   26-Jan-2023 07:54                   -
FY20 WORK STUDY AUDIT REQUEST/                     26-Jan-2023 07:50                   -
FY21 Processing/                                   26-Jan-2023 07:46                   -
FY21 Reimbursements/                               26-Jan-2023 07:49                   -
FY22 Processing/                                   26-Jan-2023 07:49                   -
FY22 Reimbursements/                               26-Jan-2023 07:58                   -
FY23 COM Time Reported/                            26-Jan-2023 07:46                   -
FY23 Processing/                                   26-Jan-2023 07:59                   -
Financial Statements/                              26-Jan-2023 07:59                   -
Melissa/                                           26-Jan-2023 07:49                   -
Monique-Brian/                                     26-Jan-2023 06:42                   -
NSF_Grant/                                         26-Jan-2023 07:50                   -
Operating Budgets/                                 26-Jan-2023 07:47                   -
Part Time COVID/                                   26-Jan-2023 06:46                   -
Part time Pay Rates/                               26-Jan-2023 06:46                   -
Part time Payroll Donna's files/                   26-Jan-2023 07:51                   -
Part time Payroll FY12 Access Database/            26-Jan-2023 07:49                   -
Paula/                                             26-Jan-2023 06:46                   -
Pay outs/                                          26-Jan-2023 07:47                   -
Payable Time Schedules/                            26-Jan-2023 07:49                   -
Payroll/                                           26-Jan-2023 06:42                   -
Payroll Data/                                      26-Jan-2023 06:46                   -
SSN/                                               26-Jan-2023 07:59                   -
cc/                                                26-Jan-2023 07:55                   -
passport/                                          26-Jan-2023 06:42                   -


"
